theme,url,img,lines,author
EMPATHY,/inspirational-quotes/8397-empathy-has-no-script-there-is-no-right-way-or,https://assets.passiton.com/quotes/quote_artwork/8397/medium/20231103_friday_quote.jpg,"Empathy has no script. There is no right way or wrong way to do it. It’s simply listening, holding space, withholding judgment, emotionally connecting, and communicating that incredibly healing message of ‘You’re not alone.’",<Author:0x000055d7a357f2d0>
EMPATHY,/inspirational-quotes/8263-an-exchange-of-empathy-provides-an-entry-point,https://assets.passiton.com/quotes/quote_artwork/8263/medium/20231102_thursday_quote.jpg,An exchange of empathy provides an entry point for a lot of people to see what healing feels like. ,<Author:0x000055d7a36a2158>
EMPATHY,/inspirational-quotes/8133-empathy-is-seeing-with-the-eyes-of-another,https://assets.passiton.com/quotes/quote_artwork/8133/medium/20231101_wednesday_quote.jpg,"Empathy is seeing with the eyes of another, listening with the ears of another, and feeling with the heart of another. – Alfred Adler",<Author:0x000055d7a365af60>
EMPATHY,/inspirational-quotes/8261-empathy-is-about-finding-echoes-of-another,https://assets.passiton.com/quotes/quote_artwork/8261/medium/20231031_tuesday_quote.jpg,Empathy is about finding echoes of another person in yourself.,<Author:0x000055d7a37e7b58>
EMPATHY,/inspirational-quotes/8396-when-you-show-deep-empathy-toward-others-their,https://assets.passiton.com/quotes/quote_artwork/8396/medium/20231030_monday_quote.jpg,"When you show deep empathy toward others, their defensive energy goes down, and positive energy replaces it. That’s when you can get more creative in solving problems.",<Author:0x000055d7a3745510>
MAKING A DIFFERENCE,/inspirational-quotes/4128-in-this-life-we-cannot-always-do-great-things,https://assets.passiton.com/quotes/quote_artwork/4128/medium/20231027_friday_quote.jpg,In this life we cannot always do great things. But we can do small things with great love.,<Author:0x000055d7a36bd9d0>
MAKING A DIFFERENCE,/inspirational-quotes/7970-what-you-do-makes-a-difference-and-you-have-to,https://assets.passiton.com/quotes/quote_artwork/7970/medium/20231026_thursday_quote.jpg,What you do makes a difference and you have to decide what kind of a difference you want to make.,<Author:0x000055d7a38d5ad8>
MAKING A DIFFERENCE,/inspirational-quotes/6231-it-takes-each-of-us-to-make-a-difference-for,https://assets.passiton.com/quotes/quote_artwork/6231/medium/20231025_wednesday_quote.jpg,It takes each of us to make a difference for all of us.,<Author:0x000055d7a3820cc8>
MAKING A DIFFERENCE,/inspirational-quotes/8149-each-one-of-us-can-make-a-difference-together,https://assets.passiton.com/quotes/quote_artwork/8149/medium/20231024_tuesday_quote.jpg,Each one of us can make a difference. Together we make a change.,<Author:0x000055d7a3c2cbc8>
MAKING A DIFFERENCE,/inspirational-quotes/3460-how-wonderful-that-no-one-need-wait-a-single,https://assets.passiton.com/quotes/quote_artwork/3460/medium/20231023_monday_quote.jpg,How wonderful that no one need wait a single moment to improve the world.,<Author:0x000055d7a39bb5d8>
BRAVERY,/inspirational-quotes/8184-only-when-were-brave-enough-to-explore-the,https://assets.passiton.com/quotes/quote_artwork/8184/medium/20231020_friday_quote.jpg,Only when we're brave enough to explore the darkness will we discover the infinite power of our light.,<Author:0x000055d7a3deca08>
BRAVERY,/inspirational-quotes/8185-bravery-shows-up-in-everyday-life-when-people,https://assets.passiton.com/quotes/quote_artwork/8185/medium/20231019_thursday_quote.jpg,"Bravery shows up in everyday life when people have the courage to live their truth, their vision and their dreams.",<Author:0x000055d7a3d236d0>
BRAVERY,/inspirational-quotes/8183-bravery-is-the-audacity-to-be-unhindered-by,https://assets.passiton.com/quotes/quote_artwork/8183/medium/20231018_wednesday_quote.jpg,"Bravery is the audacity to be unhindered by failures, and to walk with freedom, strength, and hope, in the face of things unknown.",<Author:0x000055d7a3fc4330>
BRAVERY,/inspirational-quotes/8395-bravery-is-not-the-absence-of-fear-but-action,https://assets.passiton.com/quotes/quote_artwork/8395/medium/20231017_tuesday_quote.jpg,"Bravery is not the absence of fear, but action in the face of fear.",<Author:0x000055d7a3f10a60>
BRAVERY,/inspirational-quotes/8182-there-is-always-light-if-only-were-brave,https://assets.passiton.com/quotes/quote_artwork/8182/medium/20231016_monday_quote.jpg,"There is always light, if only we're brave enough to see it. If only we're brave enough to be it.",<Author:0x000055d7a40faec0>
INNOVATION,/inspirational-quotes/8204-you-have-all-the-reason-in-the-world-to-achieve,https://assets.passiton.com/quotes/quote_artwork/8204/medium/20231013_friday_quote.jpg,You have all the reason in the world to achieve your grandest dreams. Imagination plus innovation equals realization.,<Author:0x000055d7a40a6668>
INNOVATION,/inspirational-quotes/8345-vulnerability-is-the-birthplace-of-innovation,https://assets.passiton.com/quotes/quote_artwork/8345/medium/20231012_thursday_quote.jpg,"Vulnerability is the birthplace of innovation, creativity and change.",<Author:0x000055d7a4262d08>
INNOVATION,/inspirational-quotes/7382-you-cannot-discover-new-oceans-unless-you-have,https://assets.passiton.com/quotes/quote_artwork/7382/medium/20231011_wednesday_quote.jpg,You cannot discover new oceans unless you have the courage to lose sight of the shore.,<Author:0x000055d7a41c1cf0>
INNOVATION,/inspirational-quotes/7824-what-good-is-an-idea-if-it-remains-an-idea,https://assets.passiton.com/quotes/quote_artwork/7824/medium/20231010_tuesday_quote.jpg,What good is an idea if it remains an idea? Try. Experiment. Iterate. Fail. Try again. Change the world.,<Author:0x000055d7a41308e0>
INNOVATION,/inspirational-quotes/8344-innovation-is-to-imagine-the-future-and-fill-in,https://assets.passiton.com/quotes/quote_artwork/8344/medium/20231009_monday_quote.jpg,Innovation is to imagine the future and fill in the gaps.,<Author:0x000055d7a439a478>
FORGIVENESS,/inspirational-quotes/4448-without-forgiveness-there-is-no-future,https://assets.passiton.com/quotes/quote_artwork/4448/medium/20231006_friday_quote.jpg,"Without forgiveness, there is no future.",<Author:0x000055d7a42a5a18>
FORGIVENESS,/inspirational-quotes/4080-to-forgive-is-to-set-a-prisoner-free-and,https://assets.passiton.com/quotes/quote_artwork/4080/medium/20231005_thursday_quote.jpg,To forgive is to set a prisoner free and discover that the prisoner was you.,<Author:0x000055d7a45e4b70>
FORGIVENESS,/inspirational-quotes/8394-a-happy-marriage-is-the-union-of-two-good,https://assets.passiton.com/quotes/quote_artwork/8394/medium/20231004_wednesday_quote.jpg,A happy marriage is the union of two good forgivers.,<Author:0x000055d7a4529af0>
FORGIVENESS,/inspirational-quotes/3128-forgiveness-does-not-change-the-past-but-it,https://assets.passiton.com/quotes/quote_artwork/3128/medium/20231003_tuesday_quote.jpg,"Forgiveness does not change the past, but it does enlarge the future.",<Author:0x000055d7a46809f8>
FORGIVENESS,/inspirational-quotes/8365-mistakes-are-always-forgivable-if-one-has-the,https://assets.passiton.com/quotes/quote_artwork/8365/medium/20231002_monday_quote.jpg,"Mistakes are always forgivable, if one has the courage to admit them.",<Author:0x000055d7a4642360>
CARING,/inspirational-quotes/8393-i-cannot-do-all-the-good-that-the-world-needs,https://assets.passiton.com/quotes/quote_artwork/8393/medium/20230929_friday_quote.jpg,I cannot do all the good that the world needs. But the world needs all the good that I can do.,<Author:0x000055d7a4711ae8>
CARING,/inspirational-quotes/7557-caring-about-the-happiness-of-others-we-find,https://assets.passiton.com/quotes/quote_artwork/7557/medium/20230928_thursday_quote.jpg,"Caring about the happiness of others, we find our own.",<Author:0x000055d7a46cd668>
CARING,/inspirational-quotes/3278-without-a-sense-of-caring-there-can-be-no,https://assets.passiton.com/quotes/quote_artwork/3278/medium/20230927_wednesday_quote.jpg,"Without a sense of caring, there can be no sense of community.",<Author:0x000055d7a4694548>
CARING,/inspirational-quotes/3505-unless-someone-like-you-cares-a-whole-awful,https://assets.passiton.com/quotes/quote_artwork/3505/medium/20230926_tuesday_quote.jpg,"Unless someone like you cares a whole awful lot, nothing is going to get better. It's not.",<Author:0x000055d7a4751bc0>
CARING,/inspirational-quotes/3203-the-capacity-to-care-is-the-thing-which-gives,https://assets.passiton.com/quotes/quote_artwork/3203/medium/20230925_monday_quote.jpg,The capacity to care is the thing which gives life its deepest significance.,<Author:0x000055d7a47280b8>
CURIOSITY,/inspirational-quotes/6799-above-all-watch-with-glittering-eyes-the-whole,https://assets.passiton.com/quotes/quote_artwork/6799/medium/20230922_friday_quote.jpg,"Above all, watch with glittering eyes the whole world around you, because the greatest secrets are always hidden in the most unlikely places.",<Author:0x000055d7a47c56b0>
CURIOSITY,/inspirational-quotes/4543-be-curious-not-judgmental,https://assets.passiton.com/quotes/quote_artwork/4543/medium/20230921_thursday_quote.jpg,"Be curious, not judgmental. ",<Author:0x000055d7a479e808>
CURIOSITY,/inspirational-quotes/8329-curiosity-is-more-important-than-knowledge,https://assets.passiton.com/quotes/quote_artwork/8329/medium/20230920_wednesday_quote.jpg,Curiosity is more important than knowledge.,<Author:0x000055d7a482daf8>
